Start Time,Average Hourly Bike Usage
0,10376.0
1,5603.58
2,3292.33
3,2079.08
4,2017.83
5,6601.83
6,24920.75
7,53221.42
8,94232.42
9,73748.75
10,51189.92
11,53605.42
12,61303.58
13,64940.17
14,67305.92
15,70533.33
16,82423.33
17,113791.67
18,108608.92
19,75060.5
20,50273.5
21,35043.17
22,26006.75
23,17624.42
