Start Time,Average Hourly Bike Usage
0,7921.42
1,4472.0
2,2605.92
3,1617.42
4,1496.92
5,4494.0
6,17825.33
7,37243.5
8,66371.42
9,53444.92
10,36865.0
11,38652.75
12,44749.42
13,46832.75
14,48351.67
15,50716.67
16,58846.83
17,80849.83
18,77226.0
19,54013.67
20,35791.17
21,25330.83
22,19267.08
23,13177.58
