Start Time,Average Hourly Bike Usage
0,15444.5
1,8769.42
2,5359.0
3,3463.25
4,3741.42
5,11657.25
6,36920.58
7,77781.58
8,135563.67
9,109014.83
10,78258.42
11,81523.67
12,93545.75
13,96998.92
14,100395.83
15,105850.67
16,121533.17
17,166873.5
18,156474.83
19,109548.0
20,74947.0
21,52679.58
22,39785.0
23,26511.58
