Start Time,Average Hourly Bike Usage
0,11820.92
1,6506.42
2,3682.92
3,2246.33
4,2250.58
5,8290.83
6,29820.0
7,62584.92
8,109473.33
9,86033.25
10,61043.08
11,63897.08
12,73629.58
13,76929.67
14,79590.75
15,83584.58
16,96925.58
17,134505.75
18,128827.5
19,88987.08
20,59738.5
21,41739.25
22,31282.58
23,20330.92
