Start Time,Average Hourly Bike Usage
0,6605.25
1,3729.17
2,2242.17
3,1375.83
4,1298.83
5,3499.67
6,13986.25
7,28414.83
8,50534.92
9,42217.67
10,29147.0
11,30998.25
12,36750.92
13,38917.25
14,40032.67
15,42036.08
16,48872.92
17,66306.92
18,63502.5
19,44827.58
20,30058.25
21,20958.33
22,16114.92
23,11006.5
