 Name,Latitude,Longitude,trips
5 Ave & E 29 St,40.7451677,-73.98683077,38365
Milton St & Franklin St,40.72906,-73.95779,38189
E 2 St & Avenue A,40.72307749,-73.98583621,38012
Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,37998
W 49 St & 8 Ave,40.76227205,-73.98788205,37889
9 Ave & W 45 St,40.76019252,-73.9912551,37869
E 51 St & 2 Ave,40.755293,-73.967641,37797
E 32 St & Park Ave,40.7457121,-73.98194829,37769
Central Park West & W 68 St,40.7734066,-73.97782542,37609
1 Ave & E 62 St,40.7612274,-73.96094022,37479
Broadway & W 51 St,40.76228826,-73.98336183,37400
North Moore St & Greenwich St,40.72019521,-74.01030064,37009
W 15 St & 7 Ave,40.73935542,-73.99931783,36861
W 20 St & 8 Ave,40.74345335,-74.00004031,36769
Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,36670
Washington Pl & Broadway,40.72903917,-73.99404649,36547
E 20 St & Park Ave,40.73827428,-73.98751968,36359
S 4 St & Wythe Ave,40.71285887,-73.96590294,36217
E 33 St & 5 Ave,40.74765947,-73.98490707,36164
LaGuardia Pl & W 3 St,40.72917025,-73.99810231,36034
E 2 St & Avenue C,40.7208736,-73.98085795,35461
N 6 St & Bedford Ave,40.71745169,-73.95850939,35447
Cooper Square & Astor Pl,40.72951496,-73.9907527,35295
West St & Chambers St,40.717548,-74.01322,35129
Lexington Ave & E 24 St,40.74025878,-73.98409214,35115
E 4 St & 2 Ave,40.7262807,-73.98978041,34751
Broadway & W 25 St,40.742868,-73.989186,34747
Albany St & Greenwich St,40.709267,-74.013247,34609
Frederick Douglass Blvd & W 117 St,40.805159,-73.954692,34513
Great Jones St,40.72743423,-73.99379025,34157
E 58 St & 3 Ave,40.76095756,-73.96724467,34144
W 13 St & 7 Ave,40.73781509,-73.99994661,34094
6 Ave & Broome St,40.72431,-74.00473,34052
Centre St & Chambers St,40.71273266,-74.0046073,33857
W 16 St & The High Line,40.74334935,-74.00681753,33699
E 44 St & Lexington Ave,40.752643,-73.974996,33514
2 Ave & E 72 St,40.76876203,-73.95840794,33365
8 Ave & W 52 St,40.76370739,-73.9851615,33213
7 Ave & Central Park South,40.76674,-73.979068,33147
Little West St & 1 Pl,40.70569254,-74.01677685,33127
Forsyth St\t& Grand St,40.71779818,-73.99316132,33052
E 85 St & 3 Ave,40.77801203,-73.95407149,33011
Washington Pl & 6 Ave,40.73224119,-74.00026394,32745
Amsterdam Ave & W 79 St,40.7829391,-73.9786517,32472
E 23 St & 1 Ave,40.736502,-73.97809472,32418
Riverside Blvd & W 67 St,40.77750703,-73.98888588,32083
W 70 St & Amsterdam Ave,40.77748046,-73.98288594,32001
5 Ave & E 63 St,40.766368,-73.971518,31909
E 40 St & 5 Ave,40.75206231,-73.9816324,31644
Thompson St & Bleecker St,40.72840059,-73.99968781,31632
W 56 St & 10 Ave,40.768254,-73.988639,31568
W 100 St & Manhattan Ave,40.795,-73.9645,31459
W 47 St & 10 Ave,40.76269882,-73.99301222,31273
Perry St & Bleecker St,40.73535398,-74.00483091,31181
Central Park West & W 72 St,40.77579377,-73.97620574,31071
W 29 St & 9 Ave,40.7500727,-73.99839279,31056
E 39 St & Lexington Ave,40.74949855,-73.97729203,31031
Perry St & Greenwich Ave,40.735918,-74.000939,31023
Mercer St & Spring St,40.72362738,-73.99949601,31007
E 72 St & York Ave,40.76663814,-73.95348296,30972
Suffolk St & Stanton St,40.72066442,-73.98517977,30802
E 2 St & 2 Ave,40.72502876,-73.99069656,30800
W 42 St & 8 Ave,40.7575699,-73.99098507,30681
W Broadway & W Houston St,40.726378,-74.000472,30675
Leonard St & Church St,40.717571,-74.005549,30640
Union Ave & N 12 St,40.71924,-73.95242,30547
W 54 St & 9 Ave,40.76584941,-73.98690506,30529
University Pl & E 8 St,40.73143724,-73.99490342,30501
Broadway & W 56 St,40.7652654,-73.98192338,30431
E 19 St & 3 Ave,40.73624527,-73.98473765,30306
Central Park S & 6 Ave,40.765909,-73.976341,30285
Stanton St & Chrystie St,40.72229346,-73.99147535,30120
Hudson St & W 13 St,40.74005709,-74.00527418,29933
Cleveland Pl & Spring St,40.722103,-73.997249,29718
St Nicholas Ave & Manhattan Ave,40.809725,-73.953149,29689
St Marks Pl & 1 Ave,40.72779126,-73.98564945,29502
9 Ave & W 22 St,40.745497,-74.001971,29398
Division St & Bowery,40.714193,-73.996732,29365
Sullivan St & Washington Sq,40.73047747,-73.99906065,29251
E 5 St & Cooper Sq,40.72769,-73.990993,29247
Barrow St & Hudson St,40.73172428,-74.00674436,29240
Columbus Ave & W 95 St,40.7919557,-73.968087,29230
E 13 St & Avenue A,40.729667,-73.980679,29192
E 11 St & Avenue B,40.72746421,-73.97950418,29139
Clinton Ave & Myrtle Ave,40.693261,-73.968896,29098
Graham Ave & Conselyea St,40.715143,-73.944507,29037
E 39 St & 2 Ave,40.74803319,-73.97382796,28962
11 Ave & W 59 St,40.77149671,-73.99046034,28821
W 47 St & 6 Ave,40.758397,-73.98255,28818
E 33 St & 1 Ave,40.743226,-73.974497,28787
12 Ave & W 40 St,40.760875,-74.002776,28774
E 1 St & 1 Ave,40.72335598,-73.98864985,28682
West Thames St,40.70834698,-74.01713445,28641
E 97 St & Madison Ave,40.787801,-73.953559,28592
W 44 St & 5 Ave,40.75500254,-73.98014437,28590
E 6 St & Avenue D,40.72228087,-73.97668709,28565
Hanson Pl & Ashland Pl,40.68506807,-73.9779076,28532
Bank St & Hudson St,40.73652889,-74.00618026,28330
Franklin St & Dupont St,40.73564,-73.95866,28221
8 Ave & W 27 St,40.747968,-73.996637,28178
Pershing Square South,40.751581,-73.97791,28103
Rivington St & Ridge St,40.71850211,-73.98329859,28092
Lexington Ave & E 36 St,40.74757396,-73.97880077,27960
6 Ave & W 33 St,40.749012,-73.988483,27904
W 67 St & Broadway,40.77492513,-73.98266566,27904
8 Ave & W 52 St,40.763707,-73.985161,27884
MacDougal St & Washington Sq,40.73226398,-73.99852205,27794
Carmine St & 6 Ave,40.730385,-74.002149,27730
W 26 St & 10 Ave,40.74971775,-74.00295035,27699
E 9 St & 5 Ave,40.73275887,-73.99581671,27696
E 54 St & 1 Ave,40.756265,-73.964179,27667
E 63 St & 3 Ave,40.763954,-73.9646,27638
Murray St & Greenwich St,40.71485151,-74.01122332,27616
W 11 St & 6 Ave,40.73532427,-73.99800419,27601
E 14 St & Avenue B,40.72938685,-73.97772429,27567
E 74 St & 1 Ave,40.7689738,-73.95482273,27537
W 37 St & 10 Ave,40.75660359,-73.9979009,27490
Broadway & E 14 St,40.734545,-73.990741,27343
W 36 St & 7 Ave,40.752149,-73.989539,27242
W 17 St & 8 Ave,40.74177603,-74.00149746,27231
Bayard St & Baxter St,40.71602118,-73.99974372,27187
E 20 St & FDR Drive,40.73314259,-73.97573881,27186
E 9 St & Avenue C,40.72521311,-73.97768752,27044
Bleecker St & Crosby St,40.72615605,-73.9951019,26995
11 Ave & W 41 St,40.7603,-73.998842,26974
Pier 40 - Hudson River Park,40.727714,-74.011295,26950
West Drive & Prospect Park West,40.66106337,-73.97945255,26919
W 87 St & Amsterdam Ave,40.78839,-73.9747,26835
W 110 St & Amsterdam Ave,40.802692,-73.96295,26832
E 10 St & Avenue A,40.727407,-73.98142,26777
W 22 St & 10 Ave,40.746919,-74.004518,26774
W 34 St & 11 Ave,40.755941,-74.002116,26661
9 Ave & W 18 St,40.74317449,-74.00366443,26599
Broadway & W 60 St,40.769155,-73.981918,26502
W 82 St & Central Park West,40.78275,-73.97137,26463
W 53 St & 10 Ave,40.76669671,-73.99061728,26458
Rivington St & Chrystie St,40.72110063,-73.9919254,26450
Fulton St & Pearl St,40.70772198,-74.00438637,26429
W 87 St & West End Ave,40.789622,-73.97757,26427
Forsyth St & Canal St,40.7158155,-73.99422366,26406
8 Ave & W 49 St,40.76171228,-73.98655102,26381
46 Ave & 5 St,40.74731,-73.95451,26356
W 41 St & 8 Ave,40.756405,-73.990026,26331
Central Park W & W 91 St,40.78866499,-73.96680057,26250
Berry St & N 8 St,40.7190095,-73.95852515,26175
1 Ave & E 30 St,40.74144387,-73.97536082,26169
MacDougal St & Prince St,40.72710258,-74.00297088,26168
Queens Plaza North & Crescent St,40.75110165,-73.94073717,26093
Grand St & Greene St,40.72170005,-74.00238141,26057
Spring St & Hudson St,40.72583997,-74.0076533,26053
Madison Av & E 51 St,40.75863,-73.97513,25991
W 49 St & 8 Ave,40.762272,-73.987882,25916
S 3 St & Bedford Ave,40.71260486,-73.96264403,25865
Amsterdam Ave & W 82 St,40.78524672,-73.97667321,25822
Plaza St East & Flatbush Ave,40.673134,-73.969106,25779
Central Park West & W 72 St,40.775793,-73.976205,25737
Lispenard St & Broadway,40.71939226,-74.00247214,25631
Broadway & Battery Pl,40.70463334,-74.01361706,25567
Broadway & Berry St,40.71044554,-73.96525063,25474
Greenwich St & Hubert St,40.721319,-74.010065,25402
W 35 St & 9 Ave,40.75414519,-73.99608895,25348
5 Ave & E 72 St,40.772828,-73.966852,25276
E 47 St & 2 Ave,40.75323098,-73.97032517,25181
E 56 St & Madison Ave,40.761573,-73.972628,25024
E 6 St & Avenue B,40.724537,-73.981854,25003
E 3 St & 1 Ave,40.72467721,-73.98783413,24978
South St & Gouverneur Ln,40.70355377,-74.00670227,24930
Lexington Ave & E 29 St,40.74311555,-73.98215353,24893
Greenwich St & Perry St,40.73498,-74.00697,24842
E 47 St & Park Ave,40.75510267,-73.97498696,24804
W 43 St & 10 Ave,40.760094,-73.994618,24780
Riverside Dr & W 72 St,40.78057799,-73.98562431,24719
Delancey St & Eldridge St,40.719383,-73.991479,24667
Forsyth St & Broome St,40.71893904,-73.99266288,24554
Central Park West & W 68 St,40.773406,-73.977825,24536
5 Ave & E 78 St,40.77632142,-73.96427393,24477
Murray St & West St,40.7149787,-74.013012,24475
W 24 St & 7 Ave,40.744876,-73.995298,24458
Huron St & Franklin St,40.73266,-73.95826,24355
Gansevoort St & Hudson St,40.7394482,-74.00507033,24342
South St & Whitehall St,40.70122128,-74.01234218,24291
Clinton St & Grand St,40.715595,-73.987029,24254
W 42 St & Dyer Ave,40.75898481,-73.99379969,24248
Central Park West & W 76 St,40.77896784,-73.97374737,24244
W 64 St & Thelonious Monk Circle,40.77515953,-73.98918696,24180
E 30 St & Park Ave S,40.74444921,-73.98303529,24170
W 84 St & Columbus Ave,40.78499979,-73.97283406,24166
Graham Ave & Grand St,40.711863,-73.944024,24160
McGuinness Blvd & Eagle St,40.73555,-73.95284,24026
W 50 St & 10 Ave,40.7647342,-73.9919436,23916
Jay St & Tech Pl,40.695065,-73.987167,23904
Grand Army Plaza & Central Park S,40.764397,-73.973714,23777
Madison Ave & E 26 St,40.74268473,-73.98671329,23730
W 37 St & 5 Ave,40.75038009,-73.98338988,23722
Greenwich Ave & 8 Ave,40.739016,-74.002637,23717
Driggs Ave & N 9 St,40.71816969,-73.95520136,23702
Amsterdam Ave & W 73 St,40.779668,-73.98093,23687
Broadway & W 38 St,40.75297282,-73.98734897,23649
Mercer St & Bleecker St,40.72706363,-73.99662137,23644
University Pl & E 8 St,40.731437,-73.994903,23624
E 53 St & Madison Ave,40.7597108,-73.97402311,23600
5 Ave & E 93 St,40.7857851,-73.957481,23579
1 Ave & E 16 St,40.732218,-73.981655,23575
Morton St & Washington St,40.73115,-74.00887,23484
W Broadway & Spring St,40.72494672,-74.00165856,23481
W 51 St & 6 Ave,40.7606597,-73.98042047,23475
Roebling St & N 4 St,40.71469,-73.95739,23458
Columbus Ave & W 72 St,40.777057,-73.978984,23392
W 76 St & Columbus Ave,40.78018397,-73.97728533,23369
Bedford Ave & Bergen St,40.676368,-73.952918,23366
Cliff St & Fulton St,40.70838,-74.00495,23356
Bedford Ave & Nassau Ave,40.72311651,-73.95212324,23293
E 91 St & 2 Ave,40.78115276,-73.94963041,23257
W 4 St & 7 Ave S,40.734011,-74.002938,23200
1 Ave & E 78 St,40.771404,-73.953516,23145
S 4 St & Rodney St,40.70934,-73.95608,23089
FDR Drive & E 35 St,40.744219,-73.971212,23020
2 Ave & E 96 St,40.7839636,-73.9471673,23012
Avenue D & E 3 St,40.72082834,-73.97793172,23002
E 16 St & Irving Pl,40.73536706,-73.98797393,22999
1 Ave & E 62 St,40.761227,-73.96094,22956
Avenue C & E 18 St,40.730563,-73.973984,22953
Hudson St & Reade St,40.71625008,-74.0091059,22944
W 33 St & 7 Ave,40.750199,-73.99093,22923
12 Ave & W 125 St,40.818299,-73.960405,22897
E 31 St & 3 Ave,40.743943,-73.97966,22824
W 36 St & 9 Ave,40.75462324,-73.99516761,22794
E 56 St & 3 Ave,40.75934501,-73.96759673,22764
E 7 St & Avenue A,40.726217,-73.983798,22730
E 25 St & 1 Ave,40.7381765,-73.97738662,22551
W 100 St & Broadway,40.7973721,-73.97041192,22538
E 12 St & 3 Ave,40.73223272,-73.98889957,22487
1 Ave & E 18 St,40.733812,-73.980544,22451
W 50 St & 9 Ave,40.76360468,-73.98917958,22216
E 48 St & 5 Ave,40.75724568,-73.97805914,22195
E 25 St & 2 Ave,40.739126,-73.979737,22169
Broadway & W 51 St,40.762288,-73.983361,22124
Lafayette St & E 8 St,40.730206,-73.991026,22100
William St & Pine St,40.70717936,-74.00887308,22081
W 92 St & Broadway,40.7921,-73.9739,22036
E 84 St & 1 Ave,40.77565541,-73.95068615,22032
E 12 St & Ave C,40.727243,-73.976831,22006
W 63 St & Broadway,40.771638,-73.982614,21980
E 53 St & Lexington Ave,40.75828065,-73.97069431,21979
Broadway & W 36 St,40.75097711,-73.98765428,21858
Greenpoint Ave & Manhattan Ave,40.73026,-73.95394,21838
W 52 St & 11 Ave,40.76727216,-73.99392888,21744
Nassau Ave & Russell St,40.72557,-73.94434,21697
E 20 St & 2 Ave,40.735876,-73.98205,21569
DeKalb Ave & Hudson Ave,40.689888,-73.981013,21534
Schermerhorn St & Bond St,40.68841743,-73.98451656,21516
W 113 St & Broadway,40.805973,-73.964928,21478
Bank St & Washington St,40.7361967,-74.00859207,21419
10 Ave & W 28 St,40.750663,-74.001768,21366
Driggs Ave & N Henry St,40.72325,-73.94308,21365
Central Park W & W 97 St,40.79249519,-73.96417066,21294
E 2 St & Avenue B,40.722174,-73.983687,21283
W 35 St & Dyer Ave,40.75469175,-73.99740189,21282
Fulton St & Adams St,40.69241829,-73.98949474,21261
3 Ave & E 62 St,40.76312584,-73.96526895,21186
E 27 St & Park Ave S,40.7427518,-73.98471572,21179
2 Ave & E 31 St,40.742909,-73.97706,21157
Pearl St & Peck Slip,40.708485,-74.002751,21075
Madison St & Montgomery St,40.713126,-73.984844,21037
Canal St & Rutgers St,40.714274,-73.9899,20968
Bus Slip & State St,40.701907,-74.013942,20915
Christopher St & Greenwich St,40.732915,-74.007113,20888
Cherry St,40.71219906,-73.97948148,20734
Pike St & Monroe St,40.71173107,-73.99193043,20703
W 106 St & Central Park West,40.7981856,-73.9605909,20691
E 48 St & 3 Ave,40.7546011,-73.97187886,20612
S 4 St & Wythe Ave,40.712858,-73.965902,20510
Lenox Ave & W 126 St,40.808442,-73.9452087,20454
W 46 St & 11 Ave,40.76341379,-73.99667444,20440
N 12 St & Bedford Ave,40.72079821,-73.95484712,20439
W 89 St & Columbus Ave,40.7882213,-73.97041561,20428
Atlantic Ave & Furman St,40.69165183,-73.9999786,20404
Roosevelt Island Tramway,40.757284,-73.9536,20381
Grand St & Havemeyer St,40.71286844,-73.95698119,20281
W 22 St & 8 Ave,40.744751,-73.999153,20242
W 15 St & 10 Ave,40.74275383,-74.00747359,20151
Centre St & Worth St,40.71494807,-74.00234482,20151
Fulton St & William St,40.70960089,-74.00655091,20135
W 26 St & 8 Ave,40.747348,-73.997235,20100
Hope St & Union Ave,40.71167351,-73.95141312,20095
9 Ave & W 45 St,40.760192,-73.991255,19982
Brooklyn Bridge Park - Pier 2,40.698458,-73.997178,19977
Mott St & Prince St,40.723179,-73.9948,19964
Norfolk St & Broome St,40.717227,-73.98802,19938
E 51 St & 1 Ave,40.75455731,-73.96592976,19931
E 13 St & 2 Ave,40.731539,-73.985302,19861
W 95 St & Broadway,40.7937704,-73.971888,19859
St Marks Pl & 2 Ave,40.728418,-73.987139,19831
E 88 St & 1 Ave,40.778301,-73.9488134,19812
E 72 St & York Ave,40.766638,-73.953482,19806
7 Ave & Park Pl,40.6776147,-73.97324283,19772
Watts St & Greenwich St,40.72405549,-74.00965965,19733
W 20 St & 7 Ave,40.742387,-73.997262,19677
W 84 St & Broadway,40.7867947,-73.977112,19657
Franklin St & W Broadway,40.71911552,-74.00666661,19563
St. Nicholas Ave & W 126 St,40.8114323,-73.9518776,19561
Lafayette St & Jersey St,40.72456,-73.995652,19543
St James Pl & Oliver St,40.71307916,-73.99851193,19543
E 85 St & 3 Ave,40.778012,-73.954071,19516
Great Jones St,40.727434,-73.99379,19495
Front St & Jay St,40.702461,-73.986842,19494
31 St & Broadway,40.761584,-73.925921,19402
Front St & Washington St,40.70255088,-73.98940236,19387
W 18 St & 6 Ave,40.739713,-73.994564,19387
8 Ave & W 31 St,40.750585,-73.994684,19344
Allen St & Rivington St,40.720195,-73.989978,19333
Kent Ave & N 7 St,40.720367,-73.96165,19317
Lenox Ave & W 111 St,40.7987859,-73.9523,19311
2 Ave & E 72 St,40.768762,-73.958407,19255
E 32 St & Park Ave,40.745712,-73.981948,19249
Park Ave & E 124 St,40.8045555,-73.9396861,19142
Little West St & 1 Pl,40.705692,-74.016776,19136
E 81 St & 2 Ave,40.77477945,-73.95427465,19110
W 15 St & 6 Ave,40.738046,-73.996429,19022
Madison Ave & E 82 St,40.7781314,-73.96069399,18985
E 11 St & 1 Ave,40.729538,-73.984267,18972
Pike St & E Broadway,40.71406667,-73.99293911,18944
Metropolitan Ave & Bedford Ave,40.715348,-73.960241,18917
